"property_id","price"
"d56159653f5d2abc5ed5acd7",913717568
"45550aa81c0151f1fd9fd8fe",1090717696
"735deef3382aa15930482f3e",812662080
"0dd49fa8bb7be52b851c6dc9",809948992
"7d3220a91e78f8bc2924d1cd",1170509312
"d3054072b2175deec2c1f8dc",465931840
"b7574b06d593fca4eac59815",417559200
"79e822115c5c1a4531366001",604480576
"d3ed5316a463d38c1bd321d0",1238975360
"2f1880c9b8f7ac2715e1236d",1009050688
"dcca1c7f109175760ff531c6",792881792
"dfc4f3facf91bbd93ee0fa4d",649251008
"30e134a6cbe61d7954d0f56b",442202112
"385fee7bd9ad7722d45dd034",480886720
"87199c236bf22903d1aafdd0",499210144
"19e19ad0cd6b5e84d8aa970e",517846592
"907f968e78d748fde69dd44f",838155712
"be094e5db0f784e3aa013aae",521954784
"7ab96f83915bc84f8c03c1bd",438862528
"07f4aa9b9ff5b0b05d31e6c0",1032041664
"e9be8cd37abed8ab510ba1f5",966337536
"5f6ad58df27b562db077b5ce",793311552
"ee96d947484aaace40f9b77f",955807936
"15c4aef8401208054697b81e",1102169216
"22d6cb11333f2839b8112b89",1308211584
"288c09c33907dadbae495c11",1467293312
"f71d2bca0c5fe2720a1544c4",654947840
"451744cf3ce55a98db8a3562",594169856
"fba9ae05a6a8a9e0c6268a9f",709570624
"1338e58f7dcebf5a1ea59388",482641600
"a817e8da0ada143ac87277ee",590351744
"46d8bb3e9a0ca584d3c7a317",638901568
"b2506aa9463aebf01e1e00ca",551571776
"7ec025b9b6e6f33bf65af41b",498765440
"2ff531e27672ecd2362eed55",921613376
"9b3cf0d1b91b9c6a2a887647",804117568
"7db5291ce4602d9b2b266872",500080800
"65d5918e826c33bb950fc008",728779392
"395c34e4b8f52cbdb0522459",848510464
"855f4b67d2bd6d18fd03d8e7",721799232
"9ff06409b37e5b5dece4604a",689482752
"0508cd7bd2c77ebb6fea1e56",770419328
"b45fff2e718e54772d46a3fd",738319552
"cf4d2297b73dbc357d21e31b",698638272
"0ada7044c5b29925abc90879",663216960
"6305f02255274ab5fb6bd39c",887607616
"d9a94194ae1350512beff3e6",851339968
"e3896296cb80d50d9ad3f903",932765568
"6514f355887c64136edb5595",958065216
"f03400cc18e12903b3ffbe5a",915827776
"4e134600155a64783b3f8c3e",784837632
"d63ebc63c82fbf66d8b6ffd3",894033600
"1bd64811bd59706844230198",898141760
"a83921284639eedd4a511cb6",670428480
"a2f3f7a1cd573e2a33f52e2d",757543360
"47344a66471fa51f61c64652",765328192
"78fd849c9429091347d7e5c9",797629632
"c3daf2abea55af99c9579319",848738560
"52864916eb1984abca41ec66",1009301824
"c62494a9d7aede44f2f84023",1062930880
"a2b576643f7a032371587e5e",1264843648
"e53bc68f0e97ccead24f3e56",654928768
"fd82c710aad91bc90af490fe",812903744
"d436abc2ee37ba3dd561e940",993391168
"216a598114a403676011cb51",762523968
"ea230d5eccd2b687888173bb",866955392
"18bd0dd7580f2a7cb19a90b9",406791168
"b143c8ca6d334f6a73c3f2a0",523313856
"ab388cb4fa511968783bafee",474495008
"6a4f08cd04d558a56af732d9",570415744
"7216c895aa047c4f405c4941",638201664
"a493488dcd906dc74cf8a604",782831744
"7844b0b2bc65dced90a355c6",720505536
"c1976383069b6b82ab29d092",658160896
"e5cfd99e2308b7b73581dbdc",643740096
"c18c2ea88f4ac53970b53d2c",497645632
